uid,nbhd,nbhd_size,equiv_size,precision_nbhd,precision_equiv,recall_nbhd,recall_equiv,f1_nbhd,f1_equiv
345,"[56, 124, 125, 143, 152, 159, 206, 207, 228, 247]",210,22780,0.9818181818181819,0.8996343111535099,0.2977388173535844,0.28304036487848955,0.4569165492432284,0.4306050156420335
356,"[293, 315, 442, 505, 595, 60, 243, 123, 389, 377]",90,22846,0.7272727272727273,0.9043087685825582,0.25430077169207604,0.2838380585383837,0.3768357967510429,0.43206317491193796
357,"[333, 576, 158, 575, 37, 85, 145, 277, 338, 472]",54,22857,0.6363636363636364,0.9059782176643612,0.20945472966749562,0.28466160855886846,0.31517256843265085,0.43320777800234833
391,"[87, 106, 184, 281, 556, 138, 278, 120, 35, 209]",74,22838,0.7272727272727273,0.9043087685825582,0.16388772517804773,0.2854983982907281,0.26749632466067214,0.43398411470163367
395,"[30, 150, 238, 241, 270, 393, 492, 493, 521, 537]",144,22847,0.7824675324675325,0.9032951744971779,0.3506588440798967,0.28206854468819,0.48428695358964546,0.429895315961563
421,"[36, 39, 80, 89, 97, 117, 129, 141, 169, 205]",283,22713,0.9090909090909091,0.9009698704189522,0.18485552888010404,0.28511334680371203,0.30723712782827767,0.4331543206992873
429,"[71, 221, 266, 280, 287, 293, 298, 344, 352, 401]",532,22460,1.0,0.8993004213371492,0.2966339141964514,0.2830606552536623,0.4575445867159522,0.430590234359828
432,"[360, 388, 535, 333, 188, 530, 60, 90, 293, 146]",75,22866,0.6363636363636364,0.9059782176643612,0.202732683982684,0.2847850518018283,0.3075015462723843,0.4333507091876235
448,"[92, 87, 397, 218, 9, 521, 253, 206, 302, 588]",80,22682,0.7272727272727273,0.9043087685825582,0.23268083921610894,0.28423508567901085,0.3525637789747708,0.432523006024104
480,"[87, 397, 595, 547, 496, 90, 214, 576, 250, 515]",60,22738,0.7181818181818183,0.9044757134907385,0.18151962979549185,0.2851746070540138,0.28979412683018063,0.4336291122361231
489,"[85, 207, 87, 296, 324, 406, 110, 250, 278, 90]",62,22788,0.5454545454545454,0.9076476667461643,0.11726996407847472,0.28635448405382546,0.1930377827642671,0.43535764008400757
513,"[36, 47, 48, 108, 190, 205, 316, 429, 585, 89]",149,22849,0.7272727272727273,0.9043087685825582,0.2729895104895105,0.28349485966230387,0.3969715506899812,0.43166543920987904
525,"[147, 87, 150, 521, 192, 374, 467, 36, 536, 250]",77,22807,0.6363636363636364,0.9059782176643612,0.24876496052966637,0.28393971784186706,0.3576993793628334,0.4323713288430383
551,"[74, 157, 253, 257, 259, 293, 360, 377, 440, 451]",115,22859,0.7181818181818183,0.9044757134907385,0.2363129610861008,0.2841683856112814,0.3556136203969898,0.4324648623106739
559,"[101, 139, 143, 188, 205, 209, 250, 272, 281, 309]",153,22817,1.0,0.8993004213371492,0.25279089597271415,0.2838657858053503,0.403564388574899,0.4315211493311467
560,"[87, 360, 508, 120, 194, 127, 90, 496, 218, 521]",65,22847,0.7272727272727273,0.9043087685825582,0.23715415019762845,0.2841529380649929,0.35767511177347244,0.4324278890491404
566,"[25, 74, 98, 172, 188, 208, 278, 365, 422, 467]",180,22807,0.8181818181818182,0.9026393195007552,0.27498093058733786,0.2834582893433121,0.4116210472897967,0.43143261649275033
590,"[481, 214, 511, 25, 13, 302, 366, 382, 467, 278]",128,22697,0.7272727272727273,0.9043087685825582,0.2551670551670552,0.28382215016071294,0.377786086106238,0.43204474365462986
596,"[92, 194, 207, 269, 406, 431, 442, 575, 595, 403]",57,22876,0.6363636363636364,0.9059782176643612,0.13632756132756135,0.286004511483308,0.22454999596789602,0.4347610938002329
600,"[175, 547, 60, 296, 209, 578, 205, 505, 124, 609]",71,22747,0.6363636363636364,0.9059782176643612,0.14539985104501232,0.28583790850018287,0.2367139919630672,0.4345685768110703
610,"[442, 545, 576, 158, 92, 595, 120, 463, 138, 494]",58,22736,0.5454545454545454,0.9076476667461643,0.1664296998420221,0.285451717620772,0.2550410038633406,0.43431350122547036
