nbhd,nbhd_size,equiv_size,mse_nbhd,mse_equiv,mae_nbhd,mae_equiv,rmse_nbhd,rmse_equiv,mask
"[422, 426, 540, 632, 638, 653, 665, 699, 757, 765]",288,236574,0.810174729845746,0.7078907155058416,0.683743257311701,0.6397984756011792,0.9000970669020903,0.8413624162665228,true
"[7, 9, 13, 21, 24, 50, 69, 80, 94, 98]",17,236845,0.798025165638394,0.7080086217756706,0.7552931224419822,0.6398436219548548,0.8933225428916445,0.8414324820065306,true
"[1, 13, 14, 24, 31, 34, 36, 45, 55, 57]",149,236713,0.9132166139493842,0.7078859174476942,0.7469710146242583,0.6397844813922348,0.9556236779974554,0.841359564899392,true
"[9, 20, 96, 97, 182, 211, 229, 230, 244, 254]",9,236853,0.8834251253587255,0.7080084171454291,0.8050257679026035,0.6398456316494534,0.9399069769709796,0.8414323604101693,true
"[8, 9, 17, 21, 22, 23, 24, 29, 41, 54]",21,236841,1.1200472061479037,0.7079785487349969,0.8012048186240673,0.6398376012759109,1.0583228269993536,0.8414146116719134,true
"[1, 21, 22, 24, 29, 32, 52, 54, 61, 63]",27,236835,0.9236364224939768,0.7079905008502425,0.7515870769021933,0.6398391697760157,0.9610600514504684,0.8414217140353834,true
"[17, 20, 23, 33, 69, 109, 113, 115, 140, 142]",15,236847,0.9973316395245606,0.7079967594171832,0.8214927571043175,0.6398404042847176,0.9986649285543979,0.8414254330700869,true
"[12, 13, 41, 49, 64, 92, 106, 109, 110, 120]",19,236843,1.1031916843512515,0.7079833805950432,0.8579299967158412,0.6398344133246138,1.050329321856365,0.8414174829387866,true
"[6, 18, 38, 39, 45, 46, 60, 65, 68, 72]",117,236745,0.7155367031944928,0.7080113652157419,0.6565273385545243,0.6398436669258832,0.8458940259834519,0.8414341122249216,true
"[6, 10, 31, 39, 45, 47, 48, 52, 53, 55]",188,236674,0.7701870976623076,0.7079656966034039,0.6745717537810392,0.6398243285501081,0.8776030410511962,0.8414069744204667,true
"[2, 3, 7, 11, 17, 24, 29, 49, 50, 54]",21,236841,0.9983386965629555,0.7079893402732074,0.7445908733786791,0.6398426210691485,0.9991690030034737,0.8414210243826852,true
"[8, 9, 22, 25, 54, 61, 63, 64, 66, 69]",28,236834,1.0109878464114985,0.7079792630812086,0.786681951729611,0.6398345487992885,1.0054789139566769,0.8414150361630155,true
"[2, 4, 22, 35, 67, 70, 73, 82, 85, 86]",239,236623,0.7865949910782464,0.7079357131361146,0.6652625699956718,0.6398262420421944,0.886901906119412,0.8413891567735554,true
