nbhd,nbhd_size,equiv_size,mse_nbhd,mse_equiv,mae_nbhd,mae_equiv,rmse_nbhd,rmse_equiv,mask
"[1402, 1786, 92, 610, 182, 620, 548, 498, 1476, 223]",372,154397,0.7627799129597237,0.6081909973722213,0.662952200677382,0.5869539005166854,0.8733727228163951,0.7798660124484341,true
"[1071, 1612, 568, 1643, 1652, 1102, 1486, 579, 449, 193]",57,154712,1.1169703661664825,0.6083752536198123,0.8201153433989632,0.5870507331180058,1.056868187697256,0.7799841367744682,true
"[149, 785, 568, 846, 1406, 460, 471, 529, 712, 832]",59,154710,1.1172494852367183,0.6083685723564793,0.8507861286789421,0.5870360236257165,1.0570002295348466,0.779979853814494,true
"[1600, 739, 1387, 605, 1510, 1115, 1094, 74, 536, 134]",106,154663,0.6816814646677419,0.6085124516765166,0.6739134940772407,0.5870770951446337,0.825640033348518,0.7800720810774583,true
"[846, 399, 152, 739, 1643, 480, 1257, 1510, 167, 481]",43,154726,0.9983610632223758,0.6084542353785487,0.8536846029677051,0.5870624921396471,0.9991801955715375,0.7800347654935316,true
"[149, 1600, 34, 634, 1406, 1605, 536, 219, 1014, 692]",28,154741,1.971983115054137,0.608315856958908,1.0146624298749498,0.5870592089277576,1.404273162548561,0.7799460602880869,true
"[1070, 568, 256, 1309, 540, 1280, 1536, 149, 1723, 219]",39,154730,0.8705763243433498,0.6084965234424514,0.7337817964021135,0.5870996064542555,0.9330467964380724,0.7800618715476686,true
"[149, 167, 1728, 568, 1082, 592, 1612, 846, 68, 645]",42,154727,0.9597411482104673,0.6084672385600123,0.7902329946332681,0.5870814389922382,0.9796637934569529,0.780043100450233,true
"[167, 1600, 676, 399, 1536, 74, 192, 460, 1131, 481]",130,154639,0.6641102805897013,0.6085158673583198,0.6327210393013906,0.58709824728314,0.8149296169545572,0.7800742704116831,true
"[426, 1422, 645, 1064, 1071, 17, 1605, 763, 581, 1330]",154,154615,0.7654069782440129,0.608406343978594,0.6585592650315479,0.5870654300676635,0.8748754072689511,0.7800040666423439,true
"[1770, 610, 223, 34, 1394, 894, 1711, 1417, 998, 579]",55,154714,1.3535036574781778,0.6082977419479721,0.8886347417905643,0.5870293876826154,1.1634017609915235,0.779934447212054,true
"[1014, 187, 34, 256, 950, 1070, 149, 1406, 1115, 1130]",41,154728,1.0129542926045294,0.608455408348218,0.8055624163529168,0.5870786899440061,1.0064563043692107,0.7800355173632916,true
"[24, 1148, 1731, 1380, 1439, 889, 1422, 612, 746, 193]",176,154593,0.8988996388218005,0.6082320235228453,0.6969869497144905,0.5870115069477718,0.9481031794176203,0.7798923153377301,true
"[149, 427, 138, 161, 1612, 299, 1605, 1721, 167, 352]",40,154729,1.3045442850581472,0.6083826417639716,0.9200394465407582,0.5870505077837058,1.142166487451872,0.7799888728462552,true
