nbhd,nbhd_size,equiv_size,mse_nbhd,mse_equiv,mae_nbhd,mae_equiv,rmse_nbhd,rmse_equiv,mask
"[19, 50, 67, 69, 80, 87, 101, 110, 117, 120]",176,149654,0.9386467174916099,0.7583661885501234,0.7985859622539612,0.6837339013283551,0.9688378179507703,0.8708422294251258,true
"[383, 835, 986, 1154, 2061, 2531, 4628, 5411, 3376, 1898]",40,149790,0.9579742279060579,0.7585247108247711,0.7934827972731484,0.6838395426053769,0.97876157868301,0.870933241313461,true
"[21, 37, 71, 171, 185, 217, 228, 304, 361, 382]",53,149777,1.3887356807179958,0.7583549704726403,0.936312936996441,0.6837794842538544,1.1784462994629818,0.8708357884656788,true
"[61, 325, 361, 841, 886, 986, 1123, 1154, 1240, 1250]",49,149781,0.9763095394034385,0.7585067280638261,0.8491680814056789,0.6838147372681547,0.9880837714502948,0.8709229174064868,true
"[211, 345, 640, 835, 1026, 1174, 1318, 1435, 1813, 2061]",46,149784,1.0661802550401642,0.7584834903048847,0.8574697107620324,0.6838154995997925,1.0325600491207105,0.8709095764227678,true
"[4, 11, 24, 27, 35, 57, 63, 64, 143, 176]",154,149676,1.027099972784395,0.7583016783435546,0.768806442740037,0.6837814225832356,1.0134594085529005,0.8708051896627366,true
"[989, 1840, 2329, 3552, 3662, 3959, 4548, 4550, 4614, 4874]",57,149773,1.2299952272707664,0.7583985476394562,0.8521617814912301,0.6838047657268357,1.1090514989263422,0.8708608084185763,true
"[35, 50, 54, 76, 97, 109, 110, 112, 134, 160]",155,149675,0.7712676681979164,0.7585648165357475,0.7007916388922829,0.683851289091178,0.8782184626833556,0.8709562655700614,true
"[22, 49, 85, 111, 115, 127, 174, 175, 184, 204]",234,149596,0.7707099089883505,0.7585589807538665,0.6843531601929536,0.6838680563602316,0.8779008537348341,0.8709529153483938,true
"[41, 79, 119, 152, 164, 298, 365, 384, 395, 458]",62,149768,0.9659104138817136,0.7584921275432538,0.7806837600347708,0.6838287351478832,0.9828074144417682,0.8709145351544282,true
"[57, 70, 77, 89, 152, 153, 213, 246, 253, 334]",66,149764,0.9521084293366261,0.7584926701157987,0.7761853501673013,0.6838281306965578,0.9757604364477103,0.8709148466502329,true
"[50, 61, 79, 191, 226, 318, 383, 405, 421, 468]",54,149776,1.0187781473556203,0.7584841455480283,0.832908748872692,0.6838150793605867,1.0093454053769801,0.87090995260591,true
"[77, 191, 221, 228, 363, 561, 738, 871, 1444, 1459]",56,149774,1.0245591385696795,0.75847850823106,0.7800156938516964,0.6838328649825381,1.0122050872079629,0.8709067161476366,true
